id,created_at,updated_at,observed_on,observed_on_time,iconic_taxon,taxon_id,taxon_rank,taxon_name,latitude,longitude,obscured,place_name,quality_grade,user_id,user_login,license_obs,identifications_count,identifiers,num_identification_agreements,num_identification_disagreements,device,kingdom,phylum,class,order,family,genus
558916,2025-09-01,2025-09-01,2025-08-30,09:11:00,mollusca,35036,species,Cratena peregrina,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Cratena
558915,2025-09-01,2025-09-02,2025-08-30,08:47:00,,248096,species,Calcinus tubularis,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"mjvergotti, francesc_f",2,0,web,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Calcinus
558913,2025-09-01,2025-09-01,2025-08-30,08:50:00,mollusca,35036,species,Cratena peregrina,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Cratena
558912,2025-09-01,2025-09-01,2025-08-30,08:52:00,actinopterygii,68960,species,Sparus aurata,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Chordata,Teleostei,Perciformes,Sparidae,Sparus
558911,2025-09-01,2025-09-01,2025-08-30,08:19:00,actinopterygii,246069,species,Epinephelus marginatus,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus
558910,2025-09-01,2025-09-01,2025-08-30,08:59:00,platyhelminthes,35020,species,Prostheceraeus moseleyi,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Platyhelminthes,,,,Prostheceraeus
558909,2025-09-01,2025-09-01,2025-08-30,08:45:00,mollusca,35036,species,Cratena peregrina,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Cratena
558908,2025-09-01,2025-09-01,2025-08-30,08:46:00,mollusca,35073,species,Caloria quatrefagesi,41.0879223955,1.2284088135,False,"Tarragona, Tarragonés, Tarragona, Cataluña, España",research,543,evararo,cc-by-nc,2,"dani_rhincodontypus24, mjvergotti",2,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Caloria
558907,2025-09-01,2025-09-02,2025-09-01,20:16:00,actinopterygii,34837,species,Dicentrarchus labrax,41.1665653391,1.474417001,False,Spain,research,918,davidtsh,cc0,2,"badosa, francesc_f",2,0,app,Animalia,Chordata,Teleostei,Perciformes,Moronidae,Dicentrarchus
558906,2025-09-01,2025-09-01,2025-09-01,20:08:00,cnidaria,242270,species,Cotylorhiza tuberculata,41.1676094913,1.4771381021,False,Spain,research,918,davidtsh,cc0,2,"badosa, mjvergotti",2,0,app,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,Cepheidae,Cotylorhiza
